date,shares_traded,amount_traded,open,high,low,close,fluctuation,transction
106/11/30,"5,278,315","643,249,572",123,124,120,123,-3,"3,091"
106/12/01,"14,842,476","1,713,247,240",123,123,111.5,115,-8,"8,133"
106/12/04,"13,496,107","1,470,255,163",113,113,107,109,-6,"7,665"
106/12/05,"13,364,056","1,501,209,216",113,115,110,110.5,1.5,"7,181"
106/12/06,"7,269,667","788,063,369",111,112,106,106.5,-4,"4,613"
106/12/07,"5,714,957","613,840,399",107,109.5,106,106.5,0,"3,168"
106/12/08,"2,731,119","295,040,524",108.5,109,106.5,109,2.5,"1,691"
106/12/11,"4,903,247","552,250,013",112,114,109.5,113.5,4.5,"3,370"
106/12/12,"2,850,018","319,796,516",113.5,114,111.5,112,-1.5,"1,881"
106/12/13,"5,573,427","613,972,470",112,113,108,109,-3,"3,753"
106/12/14,"3,019,741","334,241,751",110,111.5,109.5,111,2,"2,088"
106/12/15,"1,909,760","210,039,860",111,111.5,109,111,0,"1,276"
106/12/18,"2,793,132","308,766,020",112.5,113,109,109,-2,"1,828"
106/12/19,"2,650,275","290,724,475",110,111,109,109,0,"2,013"
106/12/20,"9,236,107","1,049,115,698",110,115.5,110,114.5,5.5,"5,896"
